,currency,equity,fixed_income,private_equity,gold,commodities_ex_gold,cash
2021-02-28,USD,0.0228882820,-0.0151810761,0.0620258052,-0.0625688142,0.1013824941,0.0000246536
2021-03-31,USD,0.0285375270,-0.0114631672,0.0139502846,-0.0114331059,-0.0071726980,0.0000170391
2021-04-30,USD,0.0424590473,0.0073197624,0.0178779885,0.0356338879,0.0782659337,0.0000091776
2021-05-31,USD,0.0147190471,0.0020382532,0.0027126254,0.0767837797,0.0385260898,0.0000046574
2021-06-30,USD,0.0126090116,0.0082794545,0.0186896375,-0.0714766210,0.0349462499,0.0000224627
2021-07-31,USD,0.0090916680,0.0111653237,-0.0362730964,0.0252973635,0.0129869302,0.0000342400
2021-08-31,USD,0.0217413647,-0.0020036067,0.0220311281,-0.0007655451,-0.0164102655,0.0000394164
2021-09-30,USD,-0.0422695787,-0.0091717313,-0.0288035137,-0.0322352592,0.0521376585,0.0000260509
2021-10-31,USD,0.0539429925,-0.0000873032,0.0425143255,0.0147971785,0.0579782655,0.0000335549
2021-11-30,USD,-0.0230746896,0.0027082717,-0.0433240460,-0.0069006537,-0.0875877778,0.0000358836
2021-12-31,USD,0.0388785689,-0.0035871001,0.0227152867,0.0329909771,0.0667351350,0.0000383479
2022-01-31,USD,-0.0454717790,-0.0199860491,-0.0953473056,-0.0167876127,0.0789218490,0.0001081216
2022-02-28,USD,-0.0306030716,-0.0114568312,0.0103359206,0.0612172572,0.0646744820,0.0002267165
2022-03-31,USD,0.0194114870,-0.0281218419,0.0115752812,0.0127255800,0.0917469324,0.0003519358
2022-04-30,USD,-0.0806773905,-0.0380586988,-0.0989916936,-0.0207029635,0.0564083533,0.0005705421
2022-05-31,USD,0.0044695263,0.0076057059,0.0019464800,-0.0326154777,0.0461314379,0.0008142805
2022-06-30,USD,-0.0810692399,-0.0155299821,-0.0836633029,-0.0156596511,-0.0749999829,0.0011793520
2022-07-31,USD,0.0706880153,0.0253804135,0.1056327967,-0.0258815175,-0.0198948511,0.0016665816
2022-08-31,USD,-0.0436430079,-0.0304225074,-0.0200264272,-0.0294332825,-0.0149367945,0.0022956805
2022-09-30,USD,-0.0939464353,-0.0414501395,-0.0966044957,-0.0288818106,-0.0703732267,0.0024722016
2022-10-31,USD,0.0634716165,-0.0127851325,0.1116298318,-0.0178444077,0.0506063911,0.0030345105
2022-11-30,USD,0.0833635865,0.0380848252,0.0220366006,0.0849186596,0.0147293801,0.0033124606
2022-12-31,USD,-0.0461004171,-0.0087048579,-0.0651411941,0.0293064857,-0.0271153576,0.0033858484
2023-01-31,USD,0.0750470058,0.0333025310,0.0981876715,0.0575925743,0.0089250713,0.0038531958
2023-02-28,USD,-0.0332052685,-0.0266568762,-0.0172342792,-0.0536759639,-0.0446321101,0.0034791600
2023-03-31,USD,0.0333257692,0.0264124912,-0.0484734651,0.0791612825,-0.0008417373,0.0038529226
2023-04-30,USD,0.0156865929,0.0057549892,-0.0179372484,0.0086235227,-0.0075822927,0.0036415805
2023-05-31,USD,-0.0104760724,-0.0114426488,-0.0081618638,-0.0134198901,-0.0640915340,0.0044843347
2023-06-30,USD,0.0578427995,-0.0036825449,0.0806732465,-0.0222137061,0.0294784265,0.0041174027
2023-07-31,USD,0.0359600101,-0.0001536044,0.0610883044,0.0228866424,0.0872247028,0.0043373680
2023-08-31,USD,-0.0290773206,-0.0063131385,-0.0508279669,-0.0127776351,-0.0036467510,0.0043821791
2023-09-30,USD,-0.0427979513,-0.0258957854,-0.0585359827,-0.0476058611,0.0150467465,0.0041109366
2023-10-31,USD,-0.0254411134,-0.0157064418,-0.0691411858,0.0737241156,-0.0180287748,0.0045558702
2023-11-30,USD,0.0888690223,0.0459287000,0.0920255326,0.0253137256,-0.0244797648,0.0042189901
2023-12-31,USD,0.0481282561,0.0369767004,0.1212615181,0.0128211824,-0.0329128664,0.0040528402
2024-01-31,USD,0.0027514549,-0.0015113103,-0.0390114992,-0.0142281804,0.0131578836,0.0046015015
2024-02-29,USD,0.0450758527,-0.0147458444,0.0562524541,0.0045635480,-0.0152261853,0.0040559775
2024-03-31,USD,0.0326301025,0.0090250441,0.0348699273,0.0866832385,0.0445656628,0.0039169308
2024-04-30,USD,-0.0355035465,-0.0247824499,-0.0684737162,0.0298949731,0.0161080607,0.0046219830
2024-05-31,USD,0.0457542037,0.0166957272,0.0503828589,0.0161892104,-0.0029991651,0.0043492952
2024-06-30,USD,0.0203780868,0.0088546801,-0.0112438285,-0.0013469974,-0.0017190023,0.0039197535
2024-07-31,USD,0.0153914167,0.0241919306,0.1033565769,0.0536719633,-0.0279810619,0.0045872924
2024-08-31,USD,0.0249715378,0.0146142858,-0.0168855041,0.0209224903,-0.0208148770,0.0040505433
2024-09-30,USD,0.0219695843,0.0133283620,0.0071053458,0.0508885149,0.0072365713,0.0039246841
2024-10-31,USD,-0.0209117035,-0.0251874979,-0.0141700928,0.0429934874,0.0143690659,0.0037476517
2024-11-30,USD,0.0403245491,0.0111099967,0.1107182111,-0.0312413646,-0.0199203352,0.0034317627
2024-12-31,USD,-0.0265821694,-0.0169340712,-0.0837388215,-0.0140884869,0.0172272846,0.0036589711
2025-01-31,USD,0.0314042026,0.0051599631,0.0249818046,0.0678560787,0.0275958773,0.0035005171
2025-02-28,USD,-0.0029704226,0.0223737916,-0.0522342543,0.0182162419,0.0013655422,0.0031664070
2025-03-31,USD,-0.0367459304,-0.0002626820,-0.0685410422,0.0944658589,0.0227273135,0.0034920475
2025-04-30,USD,0.0051551204,0.0043103895,-0.0232092274,0.0542443728,-0.0857778633,0.0033824240
2025-05-31,USD,0.0569279504,-0.0060689141,0.0523967411,-0.0005595777,0.0150704632,0.0034120726
2025-06-30,USD,0.0480648188,0.0145536340,0.0551842383,0.0040513190,0.0445403379,0.0035143915
2025-07-31,USD,0.0105753801,-0.0026396367,0.0166829349,-0.0061345511,0.0293443424,0.0035287713
2025-08-31,USD,0.0267775120,0.0119035438,0.0719267544,0.0498746247,-0.0106905018,0.0032118800
2025-09-30,USD,0.0359713141,0.0112678095,0.0317911669,0.1175841577,0.0144079722,0.0033705725
2025-10-31,USD,0.0229310836,0.0061544809,0.0176474367,0.0355866708,0.0155348441,0.0031798795
2025-11-30,USD,0.0004242157,0.0060571429,0.0102343549,0.0536781757,0.0078671263,0.0028382694
2025-12-31,USD,0.0089286252,-0.0027897303,-0.0070935175,0.0217335067,0.0022788158,0.0031812443
2026-01-31,USD,0.0283412218,0.0025029339,0.0548017487,0.1227322423,0.0925760124,0.0028734985
2026-02-28,USD,0.0129209205,0.0159812631,0.0067783916,0.0872007793,0.0274252995,0.0027093014
2026-03-31,USD,-0.0611344938,-0.0179454888,-0.0496111724,-0.1105116102,0.1533864671,0.0031070047
2026-04-30,USD,0.0951794969,0.0016879095,0.1208468242,-0.0154082241,0.0742659607,0.0029125228
2026-05-31,USD,0.0461924479,0.0029361837,0.0448249086,-0.0154369270,-0.0520900585,0.0028036267
2026-06-30,USD,-0.0034703057,0.0025423727,0.0369607568,-0.1168488464,-0.0956580644,0.0031464654
2026-07-31,USD,-0.0034402022,-0.0129651476,-0.0307871514,0.0085781085,0.1046511977,0.0031061190
